CPU Name,CPU Mark (Higher is better),Rank (Lower is better),CPU Value (Higher is better),Price (USD)
AMD EPYC 7763,"87,767",1,NA,NA
AMD EPYC 7713,"85,859",2,NA,NA
AMD EPYC 7J13,"85,696",3,NA,NA
AMD Ryzen Threadripper PRO 3995WX,"85,506",4,15.59,"$5,484.99 "
AMD Ryzen Threadripper 3990X,"81,261",5,19.25,"$4,222.22*"
AMD EPYC 7643,"77,101",6,NA,NA
AMD EPYC 7702,"71,686",7,8.43,"$8,499.00 "
AMD EPYC 7662,"71,576",8,13.5,"$5,300.00*"
AMD Ryzen Threadripper 3970X,"64,107",9,25.54,"$2,510.20 "
AMD EPYC 7742,"64,071",10,8.05,"$7,961.00 "
AMD EPYC 7R32,"63,037",11,NA,NA
AMD Ryzen Threadripper PRO 3975WX,"62,877",12,23.3,"$2,698.99 "
AMD EPYC 7513,"59,309",13,20.88,"$2,840.00*"
AMD EPYC 7702P,"58,119",14,12.5,"$4,650.00*"
AMD EPYC 7443P,"58,049",15,43.42,"$1,337.00*"
AMD EPYC 7542,"56,809",16,13.43,"$4,230.55 "
AMD Ryzen Threadripper 3960X,"54,998",17,39.28,"$1,399.99 "
AMD EPYC 7502,"53,591",18,17.72,"$3,025.00 "
AMD EPYC 7413,"47,603",19,NA,NA
AMD EPYC 7502P,"47,070",20,13.2,"$3,565.40*"
AMD Ryzen 9 5950X,"46,137",21,57.38,$804.00 
AMD EPYC 7343,"45,882",22,29.32,"$1,565.00*"
AMD EPYC 7402,"45,684",23,23.01,"$1,984.99 "
AMD EPYC 7452,"42,149",24,7.03,"$5,995.95*"
Intel Xeon W-3275M @ 2.50GHz,"41,412",25,5.56,"$7,453.00*"
AMD EPYC 7402P,"40,754",26,28.38,"$1,435.99 "
AMD EPYC 7F52,"40,468",27,13.05,"$3,100.00*"
AMD Ryzen Threadripper PRO 3955WX,"40,226",28,35.01,"$1,148.99 "
AMD EPYC 7313P,"39,993",29,43.8,$913.00*
AMD Ryzen 9 5900X,"39,545",30,69.38,$569.99 
AMD Ryzen 9 3950X,"39,197",31,30.38,"$1,290.04 "
Intel Xeon Gold 6248R @ 3.00GHz,"38,521",32,14.06,"$2,740.00*"
Intel Xeon Platinum 8280 @ 2.70GHz,"37,575",33,4.07,"$9,242.00*"
Intel Xeon W-3175X @ 3.10GHz,"36,360",34,11.63,"$3,126.99 "
AMD Ryzen 9 5900,"35,598",35,NA,NA
Intel Xeon Gold 6242R @ 3.10GHz,"35,505",36,13.71,"$2,589.00*"
Intel Xeon Platinum 8260M @ 2.30GHz,"33,970",37,4.41,"$7,705.00*"
Intel Core i9-10980XE @ 3.00GHz,"33,871",38,34.21,$989.99 
AMD Ryzen Threadripper PRO 3945WX,"33,849",39,NA,NA
Intel Xeon Platinum 8168 @ 2.70GHz,"33,503",40,5.69,"$5,890.00*"
AMD EPYC 73F3,"33,124",41,9.41,"$3,521.00*"
AMD Ryzen 9 3900XT,"32,927",42,47.52,$692.88 
AMD Ryzen 9 3900X,"32,875",43,53.46,$614.99 
AMD EPYC 7302P,"32,480",44,23.2,"$1,399.95*"
Intel Core i9-9980XE @ 3.00GHz,"32,424",45,27.71,"$1,169.99*"
Intel Xeon Gold 6252 @ 2.10GHz,"32,410",46,8.08,"$4,008.99 "
AMD Ryzen Threadripper 2990WX,"32,260",47,17.97,"$1,795.27 "
AMD EPYC 7302,"32,198",48,22.36,"$1,440.00*"
Intel Xeon Gold 6230R @ 2.10GHz,"32,113",49,16.95,"$1,894.00*"
Intel Xeon W-2295 @ 3.00GHz,"31,594",50,23.7,"$1,333.00*"
AMD EPYC 7282,"31,510",51,22.51,"$1,400.00*"
AMD Ryzen 9 PRO 3900,"31,510",52,NA,NA
Intel Xeon Platinum 8259CL @ 2.50GHz,"31,500",53,NA,NA
Intel Xeon Gold 6248 @ 2.50GHz,"31,285",54,9.69,"$3,228.38 "
Intel Core i9-9960X @ 3.10GHz,"31,281",55,24.06,"$1,299.99 "
AMD EPYC 7313,"31,182",56,NA,NA
AMD Ryzen Threadripper 2950X,"30,919",57,28.16,"$1,097.99 "
AMD Ryzen 9 3900,"30,888",58,52.26,$591.00*
AMD EPYC 7401P,"30,643",59,36.29,$844.39*
Intel Xeon Gold 5317 @ 3.00GHz,"30,555",60,28.31,"$1,079.19 "
Intel Xeon W-3245 @ 3.20GHz,"30,246",61,14.14,"$2,138.70*"
Intel Core i9-9990XE @ 4.00GHz,"30,162",62,NA,NA
Intel Xeon Gold 6246R @ 3.40GHz,"30,145",63,8.68,"$3,471.14 "
Intel Xeon W-3265 @ 2.70GHz,"30,105",64,6.61,"$4,551.37*"
Intel Xeon Platinum 8268 @ 2.90GHz,"30,103",65,5.01,"$6,005.98*"
AMD Ryzen Threadripper 2970WX,"29,553",66,40.49,$729.95 
Intel Core i9-7980XE @ 2.60GHz,"29,481",67,32.76,$899.99 
Intel Xeon Gold 6254 @ 3.10GHz,"29,356",68,8.17,"$3,594.39*"
Intel Core i9-10940X @ 3.30GHz,"29,125",69,36.41,$799.99 
Intel Xeon W-2191B @ 2.30GHz,"28,656",70,NA,NA
AMD Ryzen 7 5800X,"28,498",71,72.15,$395.00 
AMD EPYC 7371,"28,356",73,15.67,"$1,808.99*"
Intel Core i9-9940X @ 3.30GHz,"28,356",72,45.01,$629.99 
Intel Xeon Gold 6238 @ 2.10GHz,"27,617",74,10.57,"$2,612.00*"
Intel Xeon Gold 6212U @ 2.40GHz,"27,470",75,13.73,"$2,000.00*"
AMD EPYC 7571,"27,445",76,NA,NA
Intel Xeon Platinum 8173M @ 2.00GHz,"27,377",77,NA,NA
Intel Xeon W-2275 @ 3.30GHz,"27,348",78,24.59,"$1,112.00*"
Intel Xeon W-2195 @ 2.30GHz,"27,325",79,13.77,"$1,983.82*"
AMD Ryzen Threadripper 1950X,"27,197",80,54.48,$499.18 
Intel Core i9-7960X @ 2.80GHz,"27,149",81,27.15,$999.99 
Intel Xeon Gold 6210U @ 2.50GHz,"27,131",82,13.17,"$2,059.86*"
Intel Xeon Gold 6208U @ 2.90GHz,"26,901",83,24.19,"$1,112.26*"
Intel Core i9-7940X @ 3.10GHz,"26,712",84,48.57,$549.99 
Intel Xeon Platinum 8175M @ 2.50GHz,"26,659",85,NA,NA
Intel Xeon Platinum 8160 @ 2.10GHz,"26,485",86,5.9,"$4,489.00*"
AMD Ryzen Threadripper 2990X,"26,469",87,NA,NA
AMD EPYC 7272,"26,446",88,8.86,"$2,985.95*"
Intel Core i9-10920X @ 3.50GHz,"26,422",89,37.75,$699.99 
Intel Xeon Gold 6154 @ 3.00GHz,"26,298",90,7.19,"$3,659.82*"
Intel Xeon Gold 6242 @ 2.80GHz,"26,288",91,10.56,"$2,489.95*"
AMD Ryzen 7 5800,"26,153",92,NA,NA
Intel Xeon W-2265 @ 3.50GHz,"26,048",93,27.59,$944.00*
AMD EPYC 7551P,"25,933",94,10.32,"$2,513.00*"
Intel Xeon Gold 5220 @ 2.20GHz,"25,740",95,15.7,"$1,639.93*"
Intel Xeon Gold 6226R @ 2.90GHz,"25,570",96,18.49,"$1,383.13 "
AMD Ryzen 7 PRO 5750G,"25,562",97,NA,NA
Intel Xeon W-3235 @ 3.30GHz,"25,548",98,16.6,"$1,539.30*"
Intel Core i9-11900K @ 3.50GHz,"25,546",99,46.45,$549.99 
AMD Ryzen Threadripper 2920X,"25,540",100,37.56,$679.99 
Intel Xeon Platinum 8124M @ 3.00GHz,"25,456",101,NA,NA
Intel Xeon Platinum 8167M @ 2.00GHz,"25,396",102,NA,NA
Intel Core i9-9920X @ 3.50GHz,"25,350",103,31.89,$794.99*
Intel Xeon Gold 6230 @ 2.10GHz,"25,326",104,12.82,"$1,974.99 "
Intel Xeon W-1370P @ 3.60GHz,"25,324",105,59.17,$428.00*
Intel Core i9-11900KF @ 3.50GHz,"25,304",106,40.17,$629.99 
Intel Core i7-11700K @ 3.60GHz,"25,082",107,50.86,$493.12 
AMD EPYC 7501,"24,925",108,7.69,"$3,242.00*"
Intel Xeon Gold 6138T @ 2.00GHz,"24,800",109,9.04,"$2,742.00*"
Intel Xeon Gold 6143 @ 2.80GHz,"24,786",110,NA,NA
Intel Core i9-11900KB @ 3.30GHz,"24,523",111,45.5,$539.00*
Intel Xeon Gold 5218R @ 2.10GHz,"24,462",112,21.83,"$1,120.36 "
Intel Xeon Gold 6246 @ 3.30GHz,"24,446",113,7.1,"$3,445.44*"
Intel Xeon W-11955M @ 2.60GHz,"24,410",114,39.18,$623.00*
Intel Xeon E5-2699 v4 @ 2.20GHz,"24,272",115,34.67,$699.99*
Intel Xeon Gold 6148 @ 2.40GHz,"24,133",116,7.5,"$3,217.99 "
Intel Core i9-11980HK @ 2.60GHz,"24,132",117,41.39,$583.00*
Intel Xeon Gold 6138 @ 2.00GHz,"24,115",118,16.08,"$1,499.99 "
Intel Xeon Silver 4310 @ 2.10GHz,"24,113",119,44.82,$537.99 
Intel Core i7-11700KF @ 3.60GHz,"24,070",120,53.37,$450.99 
Intel Core i9-10900K @ 3.70GHz,"23,943",121,36.84,$649.99 
AMD Ryzen 7 3800XT,"23,917",122,65.19,$366.89 
Intel Core i9-10900KF @ 3.70GHz,"23,811",123,54.36,$437.99 
AMD Ryzen 7 5700G,"23,767",124,NA,NA
Intel Xeon E5-2696 v3 @ 2.30GHz,"23,675",125,9.48,"$2,498.00*"
Intel Xeon E5-2696 v4 @ 2.20GHz,"23,642",126,8.48,"$2,788.89*"
Intel Xeon E5-2679 v4 @ 2.50GHz,"23,639",127,8.75,"$2,702.00*"
AMD EPYC 7351,"23,566",128,23.22,"$1,015.00*"
Intel Core i9-11900F @ 2.50GHz,"23,562",129,47.13,$499.98 
Intel Core i9-11900 @ 2.50GHz,"23,535",130,45.7,$514.98 
Intel Xeon W-1290P @ 3.70GHz,"23,479",131,23.48,$999.99*
Intel Core i9-7920X @ 2.90GHz,"23,453",132,54.54,$429.99 
Intel Xeon Gold 6146 @ 3.20GHz,"23,432",133,7.6,"$3,084.44*"
Intel Core i9-11950H @ 2.60GHz,"23,376",134,42.04,$556.00*
Intel Core i9-11900H @ 2.50GHz,"23,358",135,42.78,$546.00*
Intel Core i9-10850K @ 3.60GHz,"23,341",136,53.17,$438.99 
AMD Ryzen 7 3800X,"23,325",137,53.18,$438.63 
Intel Xeon W-2170B @ 2.50GHz,"23,300",138,NA,NA
AMD Ryzen 9 5900HX,"23,182",139,NA,NA
Intel Xeon Platinum 8176 @ 2.10GHz,"23,179",140,2.66,"$8,725.00*"
AMD Ryzen Threadripper 1920X,"23,075",141,56.28,$409.99*
Intel Xeon W-2175 @ 2.50GHz,"22,973",142,58.16,$395.00*
Intel Core i9-10900X @ 3.70GHz,"22,812",143,34.05,$669.99 
AMD Ryzen 7 3700X,"22,788",144,45.22,$503.98 
AMD Ryzen 9 5900HS,"22,781",145,NA,NA
Intel Xeon Gold 6140 @ 2.30GHz,"22,733",146,8.78,"$2,588.88 "
AMD Ryzen 9 5980HS,"22,691",147,NA,NA
Intel Xeon W-2255 @ 3.70GHz,"22,680",148,29.15,$778.00*
AMD Ryzen 7 PRO 3700,"22,570",149,68.39,$329.99*
AMD Ryzen 7 5700GE,"22,566",150,NA,NA
AMD Ryzen 7 PRO 5750GE,"22,536",151,NA,NA
AMD EPYC 7F32,"22,303",152,NA,NA
Intel Xeon Gold 6152 @ 2.10GHz,"22,291",153,6.16,"$3,621.01*"
AMD Ryzen 5 5600X,"22,159",154,65.18,$339.98 
Intel Xeon W-1290E @ 3.50GHz,"22,138",155,44.28,$500.00*
Intel Xeon Gold 5218 @ 2.30GHz,"22,117",156,19.23,"$1,150.00*"
Intel Xeon E5-2698 v4 @ 2.20GHz,"22,091",157,6.09,"$3,629.59*"
AMD Ryzen 7 5800H,"21,853",158,NA,NA
AMD EPYC 7551,"21,806",159,6.49,"$3,361.00*"
Intel Xeon Gold 6130T @ 2.10GHz,"21,803",160,10.97,"$1,988.00*"
Intel Xeon Gold 6136 @ 3.00GHz,"21,799",161,8.21,"$2,654.82*"
Intel Core i7-11800H @ 2.30GHz,"21,757",162,55.08,$395.00*
Intel Core i9-9900X @ 3.50GHz,"21,678",163,37.18,$583.00 
Intel Xeon W-1290 @ 3.20GHz,"21,674",164,43.88,$494.00*
Intel Core i9-11900T @ 1.50GHz,"21,553",165,49.09,$439.00*
Intel Core i7-11700F @ 2.50GHz,"21,538",166,63.91,$337.00 
Intel Core i9-7900X @ 3.30GHz,"21,422",167,61.26,$349.69 
Intel Core i7-11700 @ 2.50GHz,"21,306",168,56.07,$379.99 
AMD EPYC 7281,"21,230",169,18.12,"$1,171.65*"
Intel Core i9-10910 @ 3.60GHz,"21,160",170,NA,NA
Intel Xeon W-2155 @ 3.30GHz,"21,137",171,13.81,"$1,530.39*"
AMD Ryzen 7 5800HS,"21,094",172,NA,NA
AMD Ryzen 5 PRO 5650G,"21,087",173,NA,NA
AMD EPYC 7262,"20,952",174,19.4,"$1,079.99*"
Intel Core i9-10900F @ 2.80GHz,"20,885",175,53.82,$388.07 
AMD Ryzen 7 PRO 4700G,"20,848",176,NA,NA
Intel Xeon E5-2697R v4 @ 2.30GHz,"20,843",177,NA,NA
Intel Core i9-10900 @ 2.80GHz,"20,779",178,54.68,$379.99 
Intel Xeon E5-2690 v4 @ 2.60GHz,"20,776",179,40.74,$509.95 
Intel Xeon Gold 6130 @ 2.10GHz,"20,721",180,11.51,"$1,799.95 "
AMD Ryzen 7 4700GE,"20,648",181,NA,NA
AMD Ryzen 7 PRO 4750G,"20,617",182,51.54,$399.99*
Intel Xeon E5-2697 v4 @ 2.30GHz,"20,556",183,6.5,"$3,162.13 "
Intel Core i9-9820X @ 3.30GHz,"20,524",184,30.18,$679.99*
AMD EPYC 7451,"20,471",185,8.9,"$2,301.00*"
Intel Core i7-11850H @ 2.50GHz,"20,239",186,51.24,$395.00*
Intel Xeon E5-2695 v4 @ 2.10GHz,"20,096",187,28.71,$700.00 
Intel Core i5-11600KF @ 3.90GHz,"20,088",188,69.27,$289.99 
Intel Core i5-11600K @ 3.90GHz,"20,016",189,69.58,$287.68 
AMD Ryzen 5 5600G,"19,992",190,NA,NA
Intel Xeon W-2150B @ 3.00GHz,"19,977",191,NA,NA
AMD EPYC 7252,"19,965",192,30.6,$652.50*
AMD Ryzen 7 4700G,"19,895",193,NA,NA
Intel Xeon Gold 6226 @ 2.70GHz,"19,810",194,12.23,"$1,620.00*"
Intel Xeon E5-2698 v3 @ 2.30GHz,"19,782",195,5.81,"$3,405.95*"
Intel Xeon E5-2699 v3 @ 2.30GHz,"19,763",196,61.78,$319.88*
AMD Ryzen 7 5800U,"19,734",197,NA,NA
AMD Ryzen 7 PRO 4750GE,"19,689",198,NA,NA
AMD Ryzen 9 4900HS,"19,625",199,NA,NA
AMD Ryzen 7 PRO 5850U,"19,604",200,NA,NA
Intel Core i9-9900KS @ 4.00GHz,"19,594",201,23.99,$816.87 
AMD EPYC 7351P,"19,589",202,15.62,"$1,254.00*"
Intel Xeon Gold 6132 @ 2.60GHz,"19,552",203,9.14,"$2,139.95*"
Intel Xeon E5-2682 v4 @ 2.50GHz,"19,551",204,NA,NA
Intel Core i7-10700K @ 3.80GHz,"19,466",205,51.98,$374.48 
Intel Xeon W-2245 @ 3.90GHz,"19,457",206,26.92,$722.78 
Intel Xeon Gold 6137 @ 3.90GHz,"19,365",207,NA,NA
Intel Core i7-7900X @ 3.30GHz,"19,358",208,NA,NA
Intel Xeon W-1270P @ 3.80GHz,"19,347",209,45.2,$428.00*
AMD Ryzen 5 PRO 5650GE,"19,266",210,NA,NA
Intel Core i7-10700KF @ 3.80GHz,"19,231",211,59.88,$321.16 
Intel Xeon Gold 6126 @ 2.60GHz,"19,223",212,11.98,"$1,604.00*"
AMD Ryzen 7 4800H,"19,221",213,NA,NA
Intel Xeon W-11855M @ 3.20GHz,"19,164",214,42.59,$450.00*
Intel Xeon W-1350 @ 3.30GHz,"19,154",215,75.11,$255.00*
Intel Xeon Silver 4214R @ 2.40GHz,"19,071",216,26.96,$707.51 
Intel Xeon E5-2697 v3 @ 2.60GHz,"19,040",217,65.66,$289.99 
AMD Ryzen 9 4900H,"19,035",218,NA,NA
Intel Xeon E5-2697A v4 @ 2.60GHz,"18,996",219,NA,NA
Intel Xeon E5-2676 v4 @ 2.40GHz,"18,978",220,NA,NA
AMD Ryzen 7 4800HS,"18,977",221,NA,NA
AMD Ryzen 5 5600GE,"18,879",222,NA,NA
Intel Core i9-9900K @ 3.60GHz,"18,840",223,41.05,$459.00 
AMD Ryzen 5 3600XT,"18,829",224,66.27,$284.11 
Intel Core i9-9900KF @ 3.60GHz,"18,823",225,49.54,$379.95 
Intel Xeon Gold 6144 @ 3.50GHz,"18,656",226,5.86,"$3,181.17*"
Intel Xeon Silver 4216 @ 2.10GHz,"18,561",227,21.73,$854.13*
Intel Xeon W-1290T @ 1.90GHz,"18,409",228,37.27,$494.00*
Intel Xeon D-2183IT @ 2.20GHz,"18,385",229,10.42,"$1,764.00*"
Intel Core i7-9800X @ 3.80GHz,"18,376",230,30.63,$599.99 
Intel Xeon E5-2680 v4 @ 2.40GHz,"18,344",231,43.16,$425.00 
AMD Ryzen 5 3600X,"18,316",232,39.93,$458.67*
Intel Xeon E5-2683 v4 @ 2.10GHz,"18,254",233,39.68,$460.00 
Intel Xeon W-2145 @ 3.70GHz,"18,237",234,14.89,"$1,224.67*"
Intel Core i5-11600 @ 2.80GHz,"18,232",235,62.87,$289.99 
AMD Ryzen 7 Extreme Edition,"18,187",236,NA,NA
Intel Xeon W-1270 @ 3.40GHz,"18,093",237,49.98,$362.00*
Intel Xeon D-2187NT @ 2.00GHz,"18,070",238,9.08,"$1,989.00*"
AMD 4700S,"18,045",239,NA,NA
AMD Ryzen 5 PRO 3600,"18,037",240,NA,NA
Intel Core i9-10900TE @ 1.80GHz,"17,888",241,40.29,$444.00*
Intel Core i5-11500 @ 2.70GHz,"17,877",242,66.21,$269.99 
AMD Ryzen 5 3600,"17,858",243,43.85,$407.25 
Intel Core i5-11400F @ 2.60GHz,"17,844",244,67.12,$265.85 
AMD Ryzen 5 5600H,"17,820",245,NA,NA
Intel Xeon E5-2680R v4 @ 2.40GHz,"17,795",246,NA,NA
Intel Xeon E5-2687W v4 @ 3.00GHz,"17,791",247,15.85,"$1,122.14 "
Intel Xeon E5-2686 v3 @ 2.00GHz,"17,678",248,NA,NA
Intel Xeon E-2278G @ 3.40GHz,"17,609",249,35.65,$494.00*
AMD Ryzen 7 2700X,"17,600",250,67.72,$259.90 
Intel Xeon Gold 5120T @ 2.20GHz,"17,540",251,10.16,"$1,727.00*"
Intel Xeon E5-2673 v4 @ 2.30GHz,"17,533",252,8.99,"$1,950.00*"
Intel Core i5-11400 @ 2.60GHz,"17,525",253,72.13,$242.97 
Intel Core i5-11500H @ 2.90GHz,"17,472",254,69.89,$250.00*
Intel Core i7-7820X @ 3.60GHz,"17,354",255,49.58,$349.99 
Intel Xeon W-2140B @ 3.20GHz,"17,306",256,NA,NA
AMD Ryzen 7 4800U,"17,277",257,NA,NA
Intel Core i7-10700 @ 2.90GHz,"17,266",258,59.75,$288.99 
Intel Xeon E-2278GE @ 3.30GHz,"17,210",259,34.84,$494.00*
Intel Xeon E5-4669 v3 @ 2.10GHz,"17,209",260,3.19,"$5,400.00*"
